-----------------------------------------------Training-----------------------------------------------

{'loss': 0.6292, 'grad_norm': 40.738868713378906, 'learning_rate': 1.977777777777778e-05, 'epoch': 0.03}                                                                                      
{'loss': 0.3716, 'grad_norm': 1.0455873012542725, 'learning_rate': 1.9555555555555557e-05, 'epoch': 0.07}                                                                                     
{'loss': 0.3345, 'grad_norm': 19.779193878173828, 'learning_rate': 1.9333333333333333e-05, 'epoch': 0.1}                                                                                      
{'loss': 0.3308, 'grad_norm': 0.09588995575904846, 'learning_rate': 1.9111111111111113e-05, 'epoch': 0.13}                                                                                    
{'loss': 0.3276, 'grad_norm': 34.581058502197266, 'learning_rate': 1.888888888888889e-05, 'epoch': 0.17}                                                                                      
{'loss': 0.2835, 'grad_norm': 27.489334106445312, 'learning_rate': 1.866666666666667e-05, 'epoch': 0.2}                                                                                       
{'loss': 0.2957, 'grad_norm': 50.816497802734375, 'learning_rate': 1.8444444444444448e-05, 'epoch': 0.23}                                                                                     
{'loss': 0.2916, 'grad_norm': 48.09931945800781, 'learning_rate': 1.8222222222222224e-05, 'epoch': 0.27}                                                                                      
{'loss': 0.3139, 'grad_norm': 0.32642191648483276, 'learning_rate': 1.8e-05, 'epoch': 0.3}                                                                                                    
{'loss': 0.2977, 'grad_norm': 0.046590790152549744, 'learning_rate': 1.7777777777777777e-05, 'epoch': 0.33}                                                                                   
{'loss': 0.3058, 'grad_norm': 8.39429759979248, 'learning_rate': 1.7555555555555556e-05, 'epoch': 0.37}                                                                                       
{'loss': 0.3156, 'grad_norm': 26.3389892578125, 'learning_rate': 1.7333333333333336e-05, 'epoch': 0.4}                                                                                        
{'loss': 0.2676, 'grad_norm': 3.8659510612487793, 'learning_rate': 1.7111111111111112e-05, 'epoch': 0.43}                                                                                     
{'loss': 0.2879, 'grad_norm': 20.96656036376953, 'learning_rate': 1.688888888888889e-05, 'epoch': 0.47}                                                                                       
{'loss': 0.2757, 'grad_norm': 30.7246150970459, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.5}                                                                                        
{'loss': 0.2894, 'grad_norm': 11.726499557495117, 'learning_rate': 1.6444444444444444e-05, 'epoch': 0.53}                                                                                     
{'loss': 0.2631, 'grad_norm': 1.6490461826324463, 'learning_rate': 1.6222222222222223e-05, 'epoch': 0.57}                                                                                     
{'loss': 0.2717, 'grad_norm': 2.3221309185028076, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.6}                                                                                      
{'loss': 0.2586, 'grad_norm': 0.7865825891494751, 'learning_rate': 1.577777777777778e-05, 'epoch': 0.63}                                                                                      
{'loss': 0.2703, 'grad_norm': 25.206186294555664, 'learning_rate': 1.555555555555556e-05, 'epoch': 0.67}                                                                                      
{'loss': 0.2508, 'grad_norm': 22.363590240478516, 'learning_rate': 1.5333333333333334e-05, 'epoch': 0.7}                                                                                      
{'loss': 0.2641, 'grad_norm': 0.5905072093009949, 'learning_rate': 1.5111111111111112e-05, 'epoch': 0.73}                                                                                     
{'loss': 0.2622, 'grad_norm': 0.22529277205467224, 'learning_rate': 1.488888888888889e-05, 'epoch': 0.77}                                                                                     
{'loss': 0.2567, 'grad_norm': 1.0017368793487549, 'learning_rate': 1.4666666666666666e-05, 'epoch': 0.8}                                                                                      
{'loss': 0.2525, 'grad_norm': 1.5710570812225342, 'learning_rate': 1.4444444444444446e-05, 'epoch': 0.83}                                                                                     
{'loss': 0.2559, 'grad_norm': 2.928158760070801, 'learning_rate': 1.4222222222222224e-05, 'epoch': 0.87}                                                                                      
{'loss': 0.2565, 'grad_norm': 14.599063873291016, 'learning_rate': 1.4e-05, 'epoch': 0.9}                                                                                                     
{'loss': 0.2339, 'grad_norm': 5.4500226974487305, 'learning_rate': 1.377777777777778e-05, 'epoch': 0.93}                                                                                      
